GDAY_DS,T_ID,HEADER_NO,INN2,R,ER,PA,AB,HIT,H2,H3,HR,BB,IB,HP,KK,BF,WHIP,TB_SC,WLS
20200812,SK,0,27.0,2.0,1.0,30.0,27.0,2.0,1.0,0.0,0.0,2.0,0.0,1.0,3.0,147.0,7.25,T,W
20200812,SS,0,27.0,15.0,15.0,50.0,45.0,24.0,2.0,0.0,2.0,3.0,0.0,0.0,2.0,166.0,5.92,B,L
20200812,WO,0,30.0,2.0,2.0,38.0,34.0,4.0,1.0,0.0,1.0,2.0,0.0,2.0,8.0,163.0,4.720000000000001,B,W
20200813,HH,0,24.0,6.0,6.0,36.0,31.0,11.0,1.0,1.0,1.0,3.0,0.0,0.0,4.0,125.0,6.9,T,L
20200813,HT,0,24.0,4.0,4.0,35.0,29.0,8.0,1.0,0.0,2.0,4.0,0.0,1.0,6.0,127.0,8.36,T,L
20200813,KT,0,27.0,10.0,9.0,47.0,41.0,16.0,1.0,0.0,1.0,4.0,0.0,0.0,5.0,154.0,6.4,B,L
20200813,LG,0,27.0,2.0,1.0,33.0,32.0,5.0,1.0,0.0,1.0,1.0,0.0,0.0,8.0,124.0,4.0600000000000005,B,W
20200813,LT,0,27.0,9.0,9.0,43.0,39.0,14.0,1.0,0.0,1.0,3.0,0.0,1.0,7.0,178.0,9.6,B,L
20200813,NC,0,27.0,2.0,2.0,33.0,33.0,7.0,1.0,0.0,0.0,0.0,0.0,0.0,6.0,120.0,2.39,T,W
20200813,OB,0,24.0,3.0,3.0,38.0,33.0,9.0,1.0,0.0,2.0,4.0,0.0,1.0,5.0,148.0,6.54,T,L
20200813,SK,0,27.0,6.0,6.0,48.0,36.0,10.0,2.0,0.0,1.0,11.0,0.0,0.0,17.0,195.0,11.500000000000002,T,W
20200813,SS,0,27.0,2.0,2.0,39.0,28.0,4.0,0.0,0.0,1.0,9.0,0.0,0.0,11.0,164.0,6.79,B,W
20200813,WO,0,27.0,3.0,3.0,39.0,32.0,9.0,0.0,0.0,0.0,4.0,0.0,2.0,10.0,157.0,6.909999999999999,B,W
20200814,HH,0,27.0,10.0,10.0,44.0,41.0,15.0,4.0,0.0,1.0,3.0,0.0,0.0,6.0,186.0,6.77,B,L
20200814,HT,0,27.0,6.0,6.0,43.0,31.0,12.0,1.0,0.0,0.0,8.0,0.0,1.0,6.0,167.0,7.34,B,W
20200814,KT,0,36.0,3.0,3.0,53.0,45.0,10.0,0.0,0.0,2.0,8.0,2.0,0.0,9.0,213.0,8.96,T,W
20200814,LG,0,27.0,4.0,4.0,40.0,36.0,8.0,3.0,0.0,0.0,3.0,0.0,1.0,13.0,151.0,7.5200000000000005,T,W
20200814,LT,0,27.0,1.0,0.0,35.0,32.0,5.0,2.0,0.0,0.0,3.0,0.0,0.0,7.0,141.0,5.99,B,W
20200814,NC,0,27.0,10.0,10.0,49.0,43.0,18.0,2.0,1.0,4.0,5.0,0.0,0.0,6.0,206.0,8.07,B,L
20200814,OB,0,36.0,5.0,4.0,49.0,47.0,12.0,3.0,0.0,0.0,1.0,0.0,0.0,7.0,194.0,10.580000000000002,B,L
20200814,SK,0,25.0,7.0,7.0,40.0,31.0,7.0,2.0,0.0,1.0,8.0,0.0,1.0,3.0,151.0,6.4399999999999995,T,L
20200814,SS,0,27.0,1.0,1.0,33.0,30.0,4.0,1.0,0.0,0.0,2.0,0.0,1.0,8.0,144.0,3.88,T,W
20200814,WO,0,24.0,5.0,5.0,38.0,31.0,11.0,2.0,0.0,0.0,5.0,1.0,0.0,6.0,122.0,7.67,T,L
20200815,HH,0,27.0,2.0,2.0,34.0,29.0,3.0,0.0,0.0,1.0,4.0,0.0,0.0,11.0,153.0,5.75,B,L
20200815,HT,0,27.0,3.0,3.0,36.0,33.0,9.0,2.0,0.0,0.0,3.0,0.0,0.0,1.0,137.0,4.57,B,W
20200815,KT,0,26.0,7.0,4.0,41.0,38.0,13.0,1.0,0.0,1.0,3.0,0.0,0.0,3.0,145.0,4.94,T,L
20200815,LG,0,27.0,4.0,4.0,38.0,34.0,10.0,0.0,0.0,2.0,2.0,0.0,1.0,13.0,149.0,8.370000000000001,T,W
20200815,LT,0,27.0,3.0,3.0,36.0,34.0,9.0,4.0,0.0,0.0,2.0,0.0,0.0,4.0,128.0,5.109999999999999,B,L
20200815,NC,0,27.0,13.0,13.0,45.0,40.0,15.0,4.0,0.0,2.0,3.0,0.0,1.0,9.0,177.0,5.65,B,L
20200815,OB,0,27.0,5.0,4.0,41.0,34.0,7.0,2.0,1.0,1.0,6.0,0.0,1.0,8.0,171.0,8.299999999999999,B,W
20200815,SK,0,24.0,10.0,10.0,44.0,41.0,17.0,2.0,1.0,1.0,3.0,0.0,0.0,5.0,142.0,7.58,T,L
20200815,SS,0,27.0,0.0,0.0,35.0,30.0,7.0,0.0,0.0,0.0,5.0,0.0,0.0,7.0,155.0,6.889999999999999,T,W
20200815,WO,0,27.0,1.0,0.0,36.0,35.0,7.0,0.0,0.0,0.0,1.0,0.0,0.0,6.0,121.0,3.63,T,W
20200816,HH,0,27.0,2.0,2.0,34.0,32.0,5.0,1.0,0.0,2.0,1.0,0.0,1.0,9.0,134.0,5.34,B,W
20200816,HT,0,27.0,5.0,5.0,41.0,34.0,7.0,2.0,0.0,0.0,7.0,0.0,0.0,13.0,179.0,8.32,B,W
20200816,KT,0,27.0,1.0,1.0,35.0,28.0,3.0,1.0,0.0,0.0,6.0,0.0,1.0,6.0,140.0,5.75,T,W
20200816,LG,0,27.0,5.0,5.0,37.0,34.0,9.0,5.0,0.0,0.0,2.0,0.0,1.0,6.0,149.0,5.37,T,W
