T_ID,GDAY_DS,HEADER_NO,NAME,INN2,R,ER,PA,AB,HIT,H2,H3,HR,BB,IB,HP,KK,BF,WHIP,MONEY,AGE_VA
LG,20200828,0,송은범,43.0,3.0,3.0,52.0,49.0,8.0,2.0,0.0,1.0,3.0,0.0,0.0,10.0,202.0,22.069999999999997,324000.0,432
LG,20200828,0,윌슨,125.0,19.0,16.0,176.0,152.0,34.0,4.0,0.0,4.0,16.0,0.0,4.0,39.0,692.0,9.59,770000.0,217
LG,20200828,0,이정용,47.0,7.0,6.0,66.0,55.0,10.0,1.0,0.0,3.0,8.0,0.0,1.0,21.0,252.0,16.569999999999997,40500.0,345
LG,20200828,0,진해수,27.0,3.0,3.0,44.0,38.0,12.0,0.0,0.0,1.0,3.0,0.0,1.0,9.0,187.0,25.410000000000004,425000.0,578
LG,20200828,0,최동환,28.0,6.0,6.0,36.0,33.0,7.0,4.0,0.0,1.0,3.0,0.0,0.0,8.0,133.0,19.32,98000.0,434
LG,20200828,0,최성훈,26.0,6.0,6.0,39.0,35.0,13.0,1.0,0.0,0.0,2.0,0.0,1.0,7.0,148.0,17.77,65800.0,434
LG,20200829,0,고우석,36.0,3.0,3.0,46.0,42.0,7.0,3.0,0.0,1.0,4.0,0.0,0.0,12.0,193.0,21.709999999999997,242000.0,242
LG,20200829,0,성재헌,11.0,1.0,1.0,16.0,15.0,5.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,61.0,4.64,5400.0,46
LG,20200829,0,송은범,45.0,3.0,3.0,55.0,52.0,9.0,3.0,0.0,1.0,3.0,0.0,0.0,10.0,211.0,23.619999999999997,351000.0,468
LG,20200829,0,이정용,50.0,7.0,6.0,69.0,58.0,12.0,1.0,0.0,3.0,8.0,0.0,1.0,21.0,264.0,17.769999999999996,43200.0,368
LG,20200829,0,임찬규,101.0,16.0,14.0,146.0,119.0,24.0,10.0,0.0,3.0,25.0,0.0,1.0,32.0,639.0,9.15,94500.0,196
LG,20200829,0,진해수,28.0,5.0,5.0,48.0,41.0,14.0,0.0,0.0,1.0,4.0,0.0,1.0,10.0,202.0,26.970000000000002,450000.0,612
LG,20200830,0,고우석,40.0,3.0,3.0,50.0,46.0,7.0,3.0,0.0,1.0,4.0,0.0,0.0,14.0,206.0,22.999999999999996,264000.0,264
LG,20200830,0,송은범,48.0,4.0,4.0,59.0,56.0,10.0,3.0,0.0,1.0,3.0,0.0,0.0,11.0,229.0,25.15,378000.0,504
LG,20200830,0,진해수,28.0,5.0,5.0,50.0,42.0,15.0,0.0,0.0,1.0,4.0,0.0,2.0,10.0,206.0,28.560000000000002,475000.0,646
LG,20200830,0,최성훈,28.0,6.0,6.0,41.0,37.0,14.0,1.0,0.0,0.0,2.0,0.0,1.0,7.0,152.0,19.09,70500.0,465
LG,20200830,0,켈리,132.0,15.0,14.0,175.0,164.0,39.0,8.0,0.0,4.0,7.0,0.0,1.0,28.0,661.0,9.18,630000.0,217
LG,20200901,0,송은범,52.0,5.0,5.0,65.0,60.0,11.0,3.0,0.0,1.0,5.0,0.0,0.0,12.0,253.0,26.709999999999997,405000.0,540
LG,20200901,0,정우영,59.0,3.0,3.0,73.0,64.0,9.0,0.0,0.0,0.0,4.0,1.0,3.0,18.0,265.0,15.449999999999996,128000.0,336
LG,20200901,0,정찬헌,63.0,14.0,14.0,104.0,91.0,32.0,3.0,0.0,3.0,10.0,0.0,1.0,15.0,392.0,5.32,52000.0,120
LG,20200901,0,최동환,31.0,6.0,6.0,39.0,36.0,7.0,4.0,0.0,1.0,3.0,0.0,0.0,10.0,146.0,20.57,105000.0,465
LG,20200901,0,최성훈,29.0,6.0,6.0,44.0,39.0,15.0,1.0,0.0,0.0,3.0,1.0,1.0,7.0,164.0,20.48,75200.0,496
LG,20200903,0,고우석,43.0,3.0,3.0,54.0,49.0,7.0,3.0,0.0,1.0,5.0,0.0,0.0,17.0,227.0,24.279999999999998,286000.0,286
LG,20200903,0,성재헌,11.0,2.0,2.0,17.0,16.0,6.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,63.0,6.55,8100.0,69
LG,20200903,0,윌슨,143.0,23.0,20.0,204.0,180.0,46.0,6.0,0.0,4.0,16.0,0.0,4.0,45.0,792.0,10.95,880000.0,248
LG,20200903,0,이정용,51.0,7.0,6.0,72.0,60.0,13.0,1.0,0.0,3.0,8.0,0.0,2.0,21.0,274.0,19.009999999999994,45900.0,391
LG,20200903,0,진해수,30.0,5.0,5.0,53.0,44.0,15.0,0.0,0.0,1.0,5.0,0.0,2.0,11.0,220.0,30.150000000000002,500000.0,680
LG,20200903,0,최동환,32.0,6.0,6.0,41.0,38.0,9.0,4.0,0.0,1.0,3.0,0.0,0.0,10.0,154.0,21.87,112000.0,496
LG,20200903,0,최성훈,31.0,6.0,6.0,46.0,41.0,15.0,1.0,0.0,0.0,3.0,1.0,1.0,8.0,170.0,21.830000000000002,79900.0,527
LG,20200904,0,고우석,48.0,3.0,3.0,61.0,56.0,9.0,3.0,0.0,1.0,5.0,0.0,0.0,19.0,255.0,25.549999999999997,308000.0,308
LG,20200904,0,김대현,15.0,4.0,4.0,24.0,22.0,8.0,0.0,2.0,0.0,1.0,0.0,0.0,5.0,96.0,8.68,60000.0,115
LG,20200904,0,김윤식,95.0,22.0,22.0,143.0,125.0,32.0,7.0,0.0,2.0,14.0,0.0,3.0,23.0,565.0,11.149999999999999,18900.0,140
LG,20200904,0,성재헌,13.0,2.0,2.0,20.0,18.0,6.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,73.0,8.17,10800.0,92
LG,20200904,0,송은범,55.0,5.0,5.0,70.0,62.0,11.0,3.0,0.0,1.0,6.0,1.0,1.0,12.0,273.0,28.249999999999996,432000.0,576
LG,20200904,0,정우영,60.0,3.0,3.0,75.0,65.0,9.0,0.0,0.0,0.0,5.0,1.0,3.0,19.0,280.0,16.389999999999997,136000.0,357
LG,20200904,0,진해수,32.0,5.0,5.0,55.0,46.0,15.0,0.0,0.0,1.0,5.0,0.0,2.0,12.0,226.0,31.71,525000.0,714
LG,20200904,0,최동환,37.0,6.0,6.0,47.0,44.0,11.0,5.0,0.0,1.0,3.0,0.0,0.0,12.0,177.0,23.16,119000.0,527
LG,20200904,0,최성훈,32.0,6.0,6.0,49.0,43.0,16.0,1.0,0.0,0.0,4.0,1.0,1.0,9.0,180.0,23.25,84600.0,558
LG,20200906,0,송은범,61.0,5.0,5.0,76.0,68.0,11.0,3.0,0.0,1.0,6.0,1.0,1.0,13.0,290.0,29.709999999999997,459000.0,612
