GDAY_DS,T_ID,HEADER_NO,START_CK,AB,RUN,HIT,H2,H3,HR,TB,RBI,SB,CS,BB,HP,IB,KK,GD,SH,SF,PA,TB_SC
20200816,SS,0,9.0,32.0,2.0,5.0,1.0,0.0,2.0,12.0,2.0,1.0,0.0,1.0,1.0,0.0,9.0,0.0,0.0,0.0,34.0,T
20200816,WO,0,9.0,35.0,6.0,9.0,5.0,0.0,1.0,17.0,5.0,1.0,0.0,2.0,3.0,0.0,4.0,0.0,0.0,1.0,41.0,T
20200818,HH,0,9.0,32.0,3.0,6.0,2.0,0.0,0.0,8.0,3.0,0.0,0.0,7.0,4.0,0.0,16.0,0.0,0.0,0.0,48.0,T
20200818,HT,0,9.0,40.0,5.0,11.0,2.0,0.0,0.0,13.0,5.0,0.0,0.0,5.0,0.0,0.0,8.0,0.0,1.0,0.0,46.0,T
20200818,KT,0,9.0,33.0,6.0,9.0,1.0,0.0,1.0,13.0,5.0,0.0,0.0,8.0,0.0,0.0,7.0,0.0,0.0,1.0,42.0,T
20200818,LG,0,9.0,37.0,6.0,12.0,1.0,0.0,2.0,19.0,6.0,1.0,0.0,2.0,0.0,0.0,13.0,2.0,0.0,1.0,40.0,B
20200818,LT,0,9.0,34.0,2.0,6.0,0.0,1.0,1.0,11.0,2.0,0.0,0.0,2.0,0.0,0.0,7.0,0.0,0.0,0.0,36.0,B
20200818,NC,0,9.0,27.0,5.0,7.0,3.0,0.0,1.0,13.0,5.0,0.0,1.0,2.0,1.0,0.0,4.0,1.0,1.0,1.0,32.0,B
20200818,OB,0,9.0,43.0,9.0,16.0,2.0,0.0,0.0,18.0,7.0,1.0,0.0,3.0,2.0,0.0,10.0,0.0,1.0,1.0,50.0,T
20200818,SK,0,9.0,31.0,9.0,8.0,2.0,0.0,2.0,16.0,8.0,0.0,0.0,5.0,2.0,0.0,4.0,0.0,1.0,1.0,40.0,B
20200818,SS,0,9.0,32.0,3.0,6.0,3.0,0.0,0.0,9.0,2.0,0.0,0.0,3.0,1.0,0.0,6.0,1.0,0.0,1.0,37.0,B
20200818,WO,0,9.0,34.0,1.0,7.0,0.0,0.0,0.0,7.0,1.0,1.0,0.0,0.0,1.0,0.0,6.0,0.0,0.0,0.0,35.0,T
20200819,HH,0,9.0,40.0,6.0,12.0,2.0,0.0,2.0,20.0,5.0,0.0,0.0,3.0,0.0,0.0,8.0,0.0,0.0,0.0,47.0,T
20200819,HT,0,9.0,34.0,1.0,8.0,0.0,0.0,0.0,8.0,1.0,0.0,0.0,2.0,0.0,0.0,9.0,1.0,0.0,0.0,36.0,T
20200819,KT,0,9.0,31.0,6.0,6.0,1.0,0.0,1.0,10.0,6.0,0.0,0.0,4.0,1.0,0.0,8.0,1.0,0.0,1.0,37.0,T
20200819,LG,0,9.0,34.0,10.0,12.0,2.0,2.0,1.0,21.0,9.0,1.0,0.0,9.0,1.0,0.0,3.0,2.0,0.0,1.0,45.0,B
20200819,LT,0,9.0,31.0,7.0,10.0,3.0,0.0,0.0,13.0,6.0,4.0,0.0,1.0,0.0,0.0,3.0,1.0,2.0,1.0,35.0,B
20200819,NC,0,9.0,36.0,4.0,7.0,1.0,0.0,1.0,11.0,4.0,0.0,0.0,4.0,0.0,0.0,7.0,0.0,0.0,0.0,40.0,B
20200819,OB,0,9.0,28.0,3.0,6.0,0.0,0.0,1.0,9.0,3.0,0.0,1.0,4.0,1.0,0.0,6.0,3.0,0.0,0.0,33.0,T
20200819,SK,0,9.0,46.0,26.0,22.0,4.0,0.0,6.0,44.0,26.0,0.0,1.0,10.0,1.0,0.0,4.0,0.0,0.0,0.0,67.0,B
20200819,SS,0,9.0,34.0,4.0,11.0,0.0,0.0,0.0,11.0,4.0,0.0,0.0,2.0,0.0,0.0,7.0,3.0,0.0,2.0,38.0,B
20200819,WO,0,9.0,35.0,6.0,8.0,3.0,0.0,1.0,14.0,6.0,1.0,0.0,3.0,2.0,0.0,5.0,1.0,0.0,0.0,40.0,T
20200820,HH,0,9.0,29.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,5.0,0.0,0.0,9.0,0.0,0.0,0.0,38.0,B
20200820,HT,0,9.0,33.0,2.0,5.0,0.0,0.0,0.0,5.0,1.0,0.0,0.0,5.0,1.0,0.0,10.0,0.0,0.0,0.0,39.0,B
20200820,KT,0,9.0,31.0,3.0,6.0,0.0,0.0,1.0,9.0,3.0,3.0,0.0,4.0,0.0,1.0,5.0,1.0,1.0,0.0,40.0,T
20200820,LG,0,9.0,36.0,5.0,9.0,1.0,0.0,1.0,13.0,5.0,1.0,0.0,2.0,0.0,0.0,9.0,1.0,0.0,0.0,38.0,T
20200820,LT,0,9.0,36.0,6.0,11.0,2.0,1.0,1.0,18.0,6.0,2.0,0.0,7.0,0.0,1.0,7.0,1.0,1.0,0.0,44.0,T
20200820,NC,0,9.0,45.0,14.0,21.0,3.0,0.0,1.0,27.0,13.0,3.0,0.0,3.0,0.0,0.0,6.0,0.0,2.0,1.0,51.0,T
20200820,OB,0,9.0,40.0,5.0,14.0,4.0,0.0,0.0,18.0,5.0,0.0,0.0,3.0,0.0,0.0,10.0,1.0,0.0,0.0,43.0,B
20200820,SK,0,9.0,35.0,3.0,11.0,0.0,0.0,2.0,17.0,3.0,0.0,0.0,4.0,0.0,0.0,6.0,2.0,0.0,1.0,45.0,B
20200820,SS,0,9.0,35.0,8.0,9.0,2.0,0.0,0.0,11.0,7.0,2.0,0.0,6.0,0.0,0.0,9.0,1.0,1.0,0.0,42.0,T
20200820,WO,0,9.0,31.0,6.0,8.0,2.0,0.0,0.0,10.0,6.0,2.0,0.0,6.0,1.0,0.0,6.0,1.0,0.0,1.0,39.0,B
